id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,09-12-2020 10:00:00,50,1,1,4761681,1599904800,0,142,0,0,0,"[{'chip_name': 'bboost', 'num_played': 112843}, {'chip_name': '3xc', 'num_played': 225426}]",259,12,254,"{'id': 254, 'points': 20}",0,4,4
2,Gameweek 2,09-19-2020 10:00:00,59,1,1,6234344,1600509600,0,165,0,0,0,"[{'chip_name': 'bboost', 'num_played': 94615}, {'chip_name': 'freehit', 'num_played': 111968}, {'chip_name': 'wildcard', 'num_played': 494000}, {'chip_name': '3xc', 'num_played': 221133}]",259,302,390,"{'id': 390, 'points': 24}",14637421,4,254
3,Gameweek 3,09-26-2020 10:00:00,43,1,1,6223553,1601114400,0,119,1,0,0,"[{'chip_name': 'bboost', 'num_played': 86797}, {'chip_name': 'freehit', 'num_played': 155467}, {'chip_name': 'wildcard', 'num_played': 681997}, {'chip_name': '3xc', 'num_played': 177478}]",259,164,224,"{'id': 224, 'points': 17}",20387878,272,254
4,Gameweek 4,10-03-2020 10:00:00,48,1,1,6563000,1601719200,0,160,0,1,0,"[{'chip_name': 'bboost', 'num_played': 82267}, {'chip_name': 'freehit', 'num_played': 131861}, {'chip_name': 'wildcard', 'num_played': 420437}, {'chip_name': '3xc', 'num_played': 171134}]",272,164,37,"{'id': 37, 'points': 24}",14570655,254,272
5,Gameweek 5,10-17-2020 10:00:00,0,0,0,None,1602928800,0,None,0,0,1,[],None,None,None,None,0,None,None
6,Gameweek 6,10-23-2020 17:30:00,0,0,0,None,1603474200,0,None,0,0,0,[],None,None,None,None,0,None,None
7,Gameweek 7,10-30-2020 18:30:00,0,0,0,None,1604082600,0,None,0,0,0,[],None,None,None,None,0,None,None
8,Gameweek 8,11-07-2020 13:30:00,0,0,0,None,1604755800,0,None,0,0,0,[],None,None,None,None,0,None,None
9,Gameweek 9,11-21-2020 13:30:00,0,0,0,None,1605965400,0,None,0,0,0,[],None,None,None,None,0,None,None
10,Gameweek 10,11-28-2020 13:30:00,0,0,0,None,1606570200,0,None,0,0,0,[],None,None,None,None,0,None,None
11,Gameweek 11,12-05-2020 13:30:00,0,0,0,None,1607175000,0,None,0,0,0,[],None,None,None,None,0,None,None
12,Gameweek 12,12-12-2020 13:30:00,0,0,0,None,1607779800,0,None,0,0,0,[],None,None,None,None,0,None,None
13,Gameweek 13,12-15-2020 18:15:00,0,0,0,None,1608056100,0,None,0,0,0,[],None,None,None,None,0,None,None
14,Gameweek 14,12-19-2020 13:30:00,0,0,0,None,1608384600,0,None,0,0,0,[],None,None,None,None,0,None,None
15,Gameweek 15,12-26-2020 13:30:00,0,0,0,None,1608989400,0,None,0,0,0,[],None,None,None,None,0,None,None
16,Gameweek 16,12-28-2020 13:30:00,0,0,0,None,1609162200,0,None,0,0,0,[],None,None,None,None,0,None,None
17,Gameweek 17,01-02-2021 13:30:00,0,0,0,None,1609594200,0,None,0,0,0,[],None,None,None,None,0,None,None
18,Gameweek 18,01-12-2021 18:15:00,0,0,0,None,1610475300,0,None,0,0,0,[],None,None,None,None,0,None,None
19,Gameweek 19,01-16-2021 13:30:00,0,0,0,None,1610803800,0,None,0,0,0,[],None,None,None,None,0,None,None
20,Gameweek 20,01-26-2021 18:15:00,0,0,0,None,1611684900,0,None,0,0,0,[],None,None,None,None,0,None,None
21,Gameweek 21,01-30-2021 13:30:00,0,0,0,None,1612013400,0,None,0,0,0,[],None,None,None,None,0,None,None
22,Gameweek 22,02-02-2021 18:15:00,0,0,0,None,1612289700,0,None,0,0,0,[],None,None,None,None,0,None,None
23,Gameweek 23,02-06-2021 13:30:00,0,0,0,None,1612618200,0,None,0,0,0,[],None,None,None,None,0,None,None
24,Gameweek 24,02-13-2021 13:30:00,0,0,0,None,1613223000,0,None,0,0,0,[],None,None,None,None,0,None,None
25,Gameweek 25,02-20-2021 13:30:00,0,0,0,None,1613827800,0,None,0,0,0,[],None,None,None,None,0,None,None
26,Gameweek 26,02-27-2021 13:30:00,0,0,0,None,1614432600,0,None,0,0,0,[],None,None,None,None,0,None,None
27,Gameweek 27,03-06-2021 13:30:00,0,0,0,None,1615037400,0,None,0,0,0,[],None,None,None,None,0,None,None
28,Gameweek 28,03-13-2021 13:30:00,0,0,0,None,1615642200,0,None,0,0,0,[],None,None,None,None,0,None,None
29,Gameweek 29,03-20-2021 13:30:00,0,0,0,None,1616247000,0,None,0,0,0,[],None,None,None,None,0,None,None
30,Gameweek 30,04-03-2021 12:30:00,0,0,0,None,1617453000,0,None,0,0,0,[],None,None,None,None,0,None,None
31,Gameweek 31,04-10-2021 12:30:00,0,0,0,None,1618057800,0,None,0,0,0,[],None,None,None,None,0,None,None
32,Gameweek 32,04-17-2021 12:30:00,0,0,0,None,1618662600,0,None,0,0,0,[],None,None,None,None,0,None,None
33,Gameweek 33,04-24-2021 12:30:00,0,0,0,None,1619267400,0,None,0,0,0,[],None,None,None,None,0,None,None
34,Gameweek 34,05-01-2021 12:30:00,0,0,0,None,1619872200,0,None,0,0,0,[],None,None,None,None,0,None,None
35,Gameweek 35,05-08-2021 12:30:00,0,0,0,None,1620477000,0,None,0,0,0,[],None,None,None,None,0,None,None
36,Gameweek 36,05-11-2021 17:15:00,0,0,0,None,1620753300,0,None,0,0,0,[],None,None,None,None,0,None,None
37,Gameweek 37,05-15-2021 12:30:00,0,0,0,None,1621081800,0,None,0,0,0,[],None,None,None,None,0,None,None
38,Gameweek 38,05-23-2021 13:30:00,0,0,0,None,1621776600,0,None,0,0,0,[],None,None,None,None,0,None,None
